"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"FSLR","First Solar Inc","Common stocks","Mid cap","Information Technology","$7,268,981,060","0.00%","USA","Analyze"
"RRC","Range Resources Corp","Common stocks","Mid cap","Energy","$7,262,944,231","0.00%","USA","Analyze"
"SEIC","SEI Investments","Common stocks","Mid cap","Financials","$7,247,621,040","1.51%","USA","Analyze"
"STOR","STORE Capital Corporation","REITs","Mid cap","Real Estate","$7,235,837,630","5.77%","USA","Analyze"
"PPC","Pilgrims Pride Corp","Common stocks","Mid cap","Consumer Staples","$7,221,909,408","0.00%","USA","Analyze"
"ARW","Arrow Electronics Inc","Common stocks","Mid cap","Information Technology","$7,217,842,679","0.00%","USA","Analyze"
"LECO","Lincoln Electric Holdings Inc","Common stocks","Mid cap","Industrials","$7,201,174,837","1.72%","USA","Analyze"
"RGLD","Royal Gold Inc","Common stocks","Mid cap","Materials","$7,199,944,323","1.18%","USA","Analyze"
"CABO","Cable One Inc","Common stocks","Mid cap","Communication Services","$7,191,463,056","0.91%","USA","Analyze"
"WEX","Wex Inc","Common stocks","Mid cap","Information Technology","$7,091,816,418","0.00%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$7,061,148,241","4.56%","USA","Analyze"
"MASI","Masimo Corp","Common stocks","Mid cap","Health Care","$7,042,394,973","0.00%","USA","Analyze"
"MANH","Manhattan Associates Inc","Common stocks","Mid cap","Information Technology","$7,027,692,790","0.00%","USA","Analyze"
"DECK","Deckers Outdoor Corp","Common stocks","Mid cap","Consumer Discretionary","$6,918,213,705","0.00%","USA","Analyze"
"MIDD","Middleby Corp","Common stocks","Mid cap","Industrials","$6,886,840,401","0.00%","USA","Analyze"
"AN","AutoNation Inc","Common stocks","Mid cap","Consumer Discretionary","$6,842,315,113","0.00%","USA","Analyze"
"CASY","Caseys General Stores Inc","Common stocks","Mid cap","Consumer Staples","$6,837,787,611","0.75%","USA","Analyze"
"UNM","Unum Group","Common stocks","Mid cap","Financials","$6,811,071,867","3.49%","USA","Analyze"
"CHDN","Churchill Downs Inc","Common stocks","Mid cap","Consumer Discretionary","$6,781,465,887","0.37%","USA","Analyze"
"CHE","Chemed Corp","Common stocks","Mid cap","Health Care","$6,745,441,475","0.32%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$6,720,765,139","0.87%","USA","Analyze"
"LII","Lennox International Inc","Common stocks","Mid cap","Industrials","$6,711,062,912","1.96%","USA","Analyze"
"CIEN","Ciena Corp","Common stocks","Mid cap","Information Technology","$6,670,845,710","0.00%","USA","Analyze"
"LSCC","Lattice Semiconductor Corp","Common stocks","Mid cap","Information Technology","$6,646,604,441","0.00%","USA","Analyze"
"SYNH","Syneos Health Inc","Common stocks","Mid cap","Health Care","$6,632,501,246","0.00%","USA","Analyze"
"RNR","Renaissancere Holding Ltd","Common stocks","Mid cap","Financials","$6,617,296,311","0.97%","USA","Analyze"
"ORI","Old Republic International Corp","Common stocks","Mid cap","Financials","$6,606,938,005","4.08%","USA","Analyze"
"GNTX","Gentex Corp","Common stocks","Mid cap","Consumer Discretionary","$6,592,995,404","1.70%","USA","Analyze"
"TTEK","Tetra Tech Inc","Common stocks","Mid cap","Industrials","$6,585,870,066","0.68%","USA","Analyze"
"COHR","Coherent Inc","Common stocks","Mid cap","Information Technology","$6,540,058,191","0.00%","USA","Analyze"
"FIVE","Five Below Inc","Common stocks","Mid cap","Consumer Discretionary","$6,533,409,084","0.00%","USA","Analyze"
"PFGC","Performance Food Group","Common stocks","Mid cap","Consumer Staples","$6,529,523,136","0.00%","USA","Analyze"
"PDCE","PDC Energy Inc","Common stocks","Mid cap","Energy","$6,481,562,607","1.23%","USA","Analyze"
"JEF","Jefferies Financial Group Inc","Common stocks","Mid cap","Financials","$6,476,218,932","4.02%","USA","Analyze"
"OHI","Omega Healthcare Investors, Inc","REITs","Mid cap","Real Estate","$6,470,816,369","9.40%","USA","Analyze"
"CPRI","Capri Holdings Limited","Common stocks","Mid cap","Consumer Discretionary","$6,407,858,945","0.00%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$6,397,971,340","0.80%","USA","Analyze"
"ATR","Aptargroup Inc","Common stocks","Mid cap","Materials","$6,373,047,062","1.56%","USA","Analyze"
"CDK","CDK Global Inc","Common stocks","Mid cap","Information Technology","$6,368,308,195","1.09%","USA","Analyze"
"KBR","KBR, Inc.","Common stocks","Mid cap","Industrials","$6,352,772,292","1.01%","USA","Analyze"
"AIRC","Apartment Income REIT Corp.","REITs","Mid cap","Real Estate","$6,346,720,901","3.26%","USA","Analyze"
"MTDR","Matador Resources","Common stocks","Mid cap","Energy","$6,336,249,245","0.33%","USA","Analyze"
"HALO","Halozyme Therapeutics Inc","Common stocks","Mid cap","Health Care","$6,312,577,357","0.00%","USA","Analyze"
"EGP","EastGroup Properties, Inc","REITs","Mid cap","Real Estate","$6,309,581,071","2.55%","USA","Analyze"
"PB","Prosperity Bancshares Inc","Common stocks","Mid cap","Financials","$6,305,267,952","2.96%","USA","Analyze"
"EXEL","Exelixis Inc","Common stocks","Mid cap","Health Care","$6,206,332,951","0.00%","USA","Analyze"
"WU","Western Union","Common stocks","Mid cap","Information Technology","$6,195,846,021","5.74%","USA","Analyze"
"COTY","Coty Inc Class A","Common stocks","Mid cap","Consumer Staples","$6,184,838,252","0.00%","USA","Analyze"
"CACI","CACI International Inc","Common stocks","Mid cap","Industrials","$6,169,233,539","0.00%","USA","Analyze"
"NFG","National Fuel Gas","Common stocks","Mid cap","Utilities","$6,139,420,872","2.68%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Real Estate","$6,130,145,109","2.36%","USA","Analyze"
"LFUS","Littelfuse Inc","Common stocks","Mid cap","Information Technology","$6,114,174,895","0.86%","USA","Analyze"
"WH","Wyndham Hotels & Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$6,094,247,141","1.80%","USA","Analyze"
"ACHC","Acadia Healthcare Company Inc","Common stocks","Mid cap","Health Care","$6,060,761,628","0.00%","USA","Analyze"
"RH","RH","Common stocks","Mid cap","Consumer Discretionary","$6,060,713,262","0.00%","USA","Analyze"
"VOYA","Voya Financial Inc","Common stocks","Mid cap","Financials","$6,040,561,170","1.29%","USA","Analyze"
"SF","Stifel Financial Corp","Common stocks","Mid cap","Financials","$6,038,647,267","1.59%","USA","Analyze"
"PII","Polaris Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,015,767,857","2.50%","USA","Analyze"
"AXON","Axon Enterprise, Inc.","Common stocks","Mid cap","Industrials","$5,996,206,922","0.00%","USA","Analyze"
