"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"UMBF","UMB Financial Corp","Common stocks","Mid cap","Financials","$4,140,005,239","1.72%","USA","Analyze"
"EVR","Evercore Inc. Class A","Common stocks","Mid cap","Financials","$4,115,429,703","2.88%","USA","Analyze"
"MAN","Manpower Inc","Common stocks","Mid cap","Industrials","$4,104,765,330","3.37%","USA","Analyze"
"NJR","New Jersey Resources Corp","Common stocks","Mid cap","Utilities","$4,058,605,974","3.39%","USA","Analyze"
"NYCB","New York Community Bancorp","Common stocks","Mid cap","Financials","$4,044,552,752","7.66%","USA","Analyze"
"CRUS","Cirrus Logic Inc","Common stocks","Mid cap","Information Technology","$4,015,282,932","0.00%","USA","Analyze"
"HR","Healthcare Realty Trust Incorporated","REITs","Mid cap","Real Estate","$4,008,447,913","4.56%","USA","Analyze"
"GO","Grocery Outlet Holding Corp.","Common stocks","Mid cap","Consumer Staples","$4,006,956,617","0.00%","USA","Analyze"
"TKR","Timken","Common stocks","Mid cap","Industrials","$3,987,482,231","2.23%","USA","Analyze"
"JHG","Janus Henderson Group Plc","Common stocks","Mid cap","Financials","$3,983,275,582","6.33%","USA","Analyze"
"THO","Thor Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$3,979,137,140","2.31%","USA","Analyze"
"ESNT","Essent Group Ltd","Common stocks","Mid cap","Financials","$3,976,924,200","2.10%","USA","Analyze"
"SSD","Simpson Manufacturing Inc","Common stocks","Mid cap","Industrials","$3,924,532,799","1.10%","USA","Analyze"
"DEI","Douglas Emmett, Inc","REITs","Mid cap","Real Estate","$3,902,407,841","4.98%","USA","Analyze"
"ICUI","ICU Medical Inc","Common stocks","Mid cap","Health Care","$3,863,032,533","0.00%","USA","Analyze"
"JWN","Nordstrom Inc","Common stocks","Mid cap","Consumer Discretionary","$3,858,716,326","1.58%","USA","Analyze"
"ELY","Callaway Golf","Common stocks","Mid cap","Consumer Discretionary","$3,858,290,040","0.00%","USA","Analyze"
"TDC","Teradata Corp","Common stocks","Mid cap","Information Technology","$3,855,054,000","0.00%","USA","Analyze"
"PNM","PNM Resources Inc","Common stocks","Mid cap","Utilities","$3,853,127,494","2.98%","USA","Analyze"
"WEN","Wendys","Common stocks","Mid cap","Consumer Discretionary","$3,843,586,874","2.72%","USA","Analyze"
"FNB","FNB Corp","Common stocks","Mid cap","Financials","$3,834,539,566","4.34%","USA","Analyze"
"HWC","Hancock Whitney Corp","Common stocks","Mid cap","Financials","$3,833,919,910","2.41%","USA","Analyze"
"KRG","Kite Realty Group Trust","REITs","Mid cap","Real Estate","$3,831,552,270","4.23%","USA","Analyze"
"VNT","Vontier Corporation","Common stocks","Mid cap","Information Technology","$3,790,094,022","0.42%","USA","Analyze"
"SRCL","Stericycle Inc","Common stocks","Mid cap","Industrials","$3,785,741,544","0.00%","USA","Analyze"
